Factors,total_abs_coeff,max_abs_coeff,n_terms
Facility,111886.22459285732,31818.38562905826,8
date_weekofyear,105686.46762026804,6551.294014630181,53
Holiday,20924.15354204357,4330.764268,12
Month,12980.883021185393,2503.8430769804872,12
date_month,12980.883021185393,2503.8430769804872,12
date_day,12249.863061647327,932.6034567411591,31
Year,11526.946676199323,4037.7515858541906,10
date_year,11526.946676199323,4037.7515858541906,10
Season,5931.597815786341,1605.4908468726173,4
Day,2636.9907325340732,621.6615829583877,7
date_dayofweek,2636.9907325340732,621.6615829583877,7
Avg_Snowfall,1107.916126444161,1107.916126444161,1
Avg_Temperature_Max,742.9273781,742.9273781,1
Avg_SnowDepth,543.4143491766698,543.4143491766698,1
Avg_Precipitation,536.1084643,536.1084643,1
Avg_WindSpeed,316.06051479435666,316.06051479435666,1
Total_Violations,115.45947094831985,115.45947094831985,1
Avg_Temperature_Min,58.059698165136325,58.059698165136325,1
